Canton,Province
San Jose,1
Escazu,1
Desamparados,1
Puriscal,1
Tarrazu,1
Aserri,1
Mora,1
Goicoechea,1
Santa Ana,1
Alajuelita,1
Vazquez de Coronado,1
Acosta,1
Tibas,1
Moravia,1
Montes de Oca,1
Turrubares,1
Dota,1
Curridabat,1
Perez Zeledon,1
Leon Cortes Castro,1
Alajuela,2
San Ramon,2
Grecia,2
San Mateo,2
Atenas,2
Naranjo,2
Palmares,2
Poas,2
Orotina,2
San Carlos,2
Alfaro Ruiz,2
Valverde Vega,2
Upala,2
Los Chiles,2
Guatuso,2
Cartago,3
Paraiso,3
La Union,3
Jimenez,3
Turrialba,3
Alvarado,3
Oreamuno,3
El Guarco,3
Heredia,4
Barva,4
Santo Domingo,4
Santa Barbara,4
San Rafael,4
San Isidro,4
Belen,4
Flores,4
San Pablo,4
Sarapiqui,4
Liberia,5
Nicoya,5
Santa Cruz,5
Bagaces,5
Carrillo,5
Canas,5
Abangares,5
Tilaran,5
Nandayure,5
La Cruz,5
Hojancha,5
Puntarenas,6
Esparza,6
Buenos Aires,6
Montes de Oro,6
Osa,6
Aguirre,6
Golfito,6
Coto Brus,6
Parrita,6
Corredores,6
Garabito,6
Limon,7
Pococi,7
Siquirres,7
Talamanca,7
Matina,7
Guacimo,7